Doamin,"Admin Email","Tech. Email","Name Server",Sponsor,"Created At"
xeroneit.net,admin_xerone@gmail.com,tech@gmail.com,www.xeroneit.net,getbdtutor,2016-01-10
webasroy.com,konokdolphin@gmail.com,konokdolphin@gmail.com,"ns55.domaincontrol.com, ns56.domaincontrol.com",,2015-08-23
getbdtutor.com,konokcseru@gmail.com,konokcseru@gmail.com,"ns45.domaincontrol.com, ns46.domaincontrol.com","WEB ASROY",2015-01-09
newkhulna.com,contact@privacyprotect.org,contact@privacyprotect.org,"ns69.domaincontrol.com, ns70.domaincontrol.com","DHAKA WEB HOST LTD.",2015-05-21
newrajshahi.com,contact@privacyprotect.org,contact@privacyprotect.org,"ns69.domaincontrol.com, ns70.domaincontrol.com","DHAKA WEB HOST LTD.",2015-05-20
google.com,,,"ns1.google.com, ns2.google.com, ns3.google.com, ns4.google.com",,1997-09-15
xeroneit.net,contact@privacyprotect.org,contact@privacyprotect.org,"ns69.domaincontrol.com, ns70.domaincontrol.com","DHAKA WEB HOST LTD.",2015-05-17
webasroy.com,konokdolphin@gmail.com,konokdolphin@gmail.com,"ns55.domaincontrol.com, ns56.domaincontrol.com",,2015-08-23
getbdtutor.com,konokcseru@gmail.com,konokcseru@gmail.com,"ns45.domaincontrol.com, ns46.domaincontrol.com","WEB ASROY",2015-01-09
newkhulna.com,contact@privacyprotect.org,contact@privacyprotect.org,"ns69.domaincontrol.com, ns70.domaincontrol.com","DHAKA WEB HOST LTD.",2015-05-21
